#SLFR RTP Motor_Comp_w_accel_fb
#Gth num=[ 18.32547182 -17.20911971]
#Gth den=[ 1.         -0.77672958]
#Ga num=[ 0.00045097  0.00045152 -0.00044989 -0.00045043]
#Ga den=[ 1.         -2.9289362   2.85853684 -0.92960052]
#t	n	u	v	$\theta$	a	$\hat{\theta}_d$
0.45	225	200	0.9766566422	232	10.04	230.1021037
0.452	226	200	-10.6090875	231	17.04	229.5973982
0.454	227	200	-1.995396411	231	10.04	229.0845423
0.456	228	200	-13.19497886	230	20.04	228.5657688
0.458	229	200	-4.267576951	230	15.04	228.040453
0.46	230	200	-15.30075627	229	21.04	227.5057623
0.462	231	200	-6.345475153	229	13.04	226.9599674
0.464	232	200	-17.38308715	228	16.04	226.4046216
0.466	233	200	-8.34966562	228	13.04	225.8438817
0.468	234	200	-19.21267116	227	10.04	225.2807174
0.47	235	200	-9.939000632	227	10.04	224.7183446
0.472	236	200	-20.47865636	226	4.04	224.1611088
0.474	237	200	-10.79353041	226	9.04	223.6130508
0.476	238	200	-20.87127488	225	9.04	223.0770239
0.478	239	200	-10.79377762	224	14.04	222.5507159
0.48	240	200	-2.348512585	224	4.04	222.0292628
0.482	241	200	-13.49147657	223	14.04	221.5126441
0.484	242	200	-4.268292615	223	3.04	221.0030927
0.486	243	200	-14.74787781	222	12.04	220.5008782
0.488	244	200	-4.967358609	221	7.04	220.0071492
0.49	245	200	3.328306148	221	5.04	219.5207143
0.492	246	200	-7.825767423	220	11.04	219.0427153
0.494	247	200	1.476357247	220	10.04	218.5742095
0.496	248	200	-8.937821835	219	12.04	218.1107634
0.498	249	200	0.8231210155	219	17.04	217.6496005
0.5	250	200	-9.341279796	218	8.04	217.1872331
0.502	251	200	0.5328047375	218	16.04	216.7226703
0.504	252	200	-9.516435927	217	8.04	216.2585987
0.506	253	200	0.5071818435	217	14.04	215.7957143
0.508	254	200	-9.39116634	216	4.04	215.3351148
0.51	255	200	0.8253991828	216	13.04	214.8796243
0.512	256	200	-8.823232524	215	6.04	214.431417
0.514	257	200	1.62838542	215	12.04	213.989806
0.516	258	200	-7.846555365	215	9.04	213.554148
0.518	259	200	-15.60258356	214	10.04	213.1233896
0.52	260	200	-3.702300532	214	6.04	212.696998
0.522	261	200	-12.02364535	213	10.04	212.2771807
0.524	262	200	-0.488751153	213	-1.96	211.8650861
0.526	263	200	-8.996077675	213	9.04	211.464033
0.528	264	200	-15.78459365	212	-0.96	211.0775549
0.53	265	200	-2.910590069	212	4.04	210.7048728
0.532	266	200	-10.26369532	211	7.04	210.3470574
0.534	267	200	2.183642902	211	5.04	210.0019395
0.536	268	200	-5.596567349	210	9.04	209.6647869
0.538	269	200	6.424154062	210	7.04	209.3338961
0.54	270	200	-1.740145194	210	6.04	209.0072268
0.542	271	200	-8.362440126	209	6.04	208.6851323
0.544	272	200	4.574330829	209	2.04	208.3692916
0.546	273	200	-2.787574097	209	5.04	208.0617142
0.548	274	200	-8.663529886	208	0.04	207.7642659
0.55	275	200	4.966652512	208	6.04	207.4777748
0.552	276	200	-1.777051867	208	5.04	207.2021033
0.554	277	200	-7.184874114	208	6.04	206.93396
0.556	278	200	-11.59462891	207	7.04	206.6707281
0.558	279	200	3.081903573	207	4.04	206.4113219
0.56	280	200	-2.949033347	207	5.04	206.1556304
0.562	281	200	-7.819684338	206	2.04	205.905352
0.564	282	200	6.57131444	206	1.04	205.6620642
0.566	283	200	0.4399741128	206	4.04	205.4281327
0.568	284	200	-4.404916888	206	-0.96	205.2039501
0.57	285	200	-8.249642351	206	5.04	204.9889738
0.572	286	200	-11.30832039	205	5.04	204.7831446
0.574	287	200	4.512003837	205	4.04	204.5827938
0.576	288	200	-0.5783697815	205	3.04	204.3854059
0.578	289	200	-4.675100708	205	1.04	204.1922452
0.58	290	200	-7.957271755	204	1.04	204.0053881
0.582	291	200	7.761102677	204	1.04	203.8267633
0.584	292	200	2.720374034	204	0.04	203.656808
0.586	293	200	-1.226666959	204	-1.96	203.4954731
0.588	294	200	-4.290724263	204	1.04	203.3440606
0.59	295	200	-6.652293364	204	3.04	203.2028745
0.592	296	200	-8.517842038	204	1.04	203.068584
0.594	297	200	-10.03904023	203	3.04	202.938536
0.596	298	200	7.033458793	203	-0.96	202.8125132
0.598	299	200	3.030916651	203	-0.96	202.6912133
0.6	300	200	-0.08193903022	203	-0.96	202.5770866
0.602	301	200	-2.470556071	203	-1.96	202.4715072
0.604	302	200	-4.288538405	203	0.04	202.3743965
0.606	303	200	-5.663538282	203	0.04	202.285225
0.608	304	200	-6.719504387	202	1.04	202.2021425
0.61	305	200	10.77297818	202	2.04	202.1234233
0.612	306	200	7.113388825	202	4.04	202.0474588
0.614	307	200	4.192557875	202	0.04	201.971848
0.616	308	200	1.838041498	202	0.04	201.8961602
0.618	309	200	-0.02618632976	202	-0.96	201.8231512
0.62	310	200	-1.467893126	202	0.04	201.7549331
0.622	311	200	-2.57314859	202	0.04	201.6916653
0.624	312	200	-3.425412062	202	-0.96	201.6325912
0.626	313	200	-4.081173967	202	-0.96	201.577455
0.628	314	200	-4.567786842	202	-0.96	201.5269183
0.63	315	200	-4.914911445	202	0.04	201.4811431
0.632	316	200	-5.162190861	202	-0.96	201.4393758
0.634	317	200	-5.340344705	202	-0.96	201.4009121
0.636	318	200	-5.456632945	202	-1.96	201.365997
0.638	319	200	-5.508505992	202	-0.96	201.3353071
0.64	320	200	-5.50239685	202	0.04	201.3090188
0.642	321	200	-5.468169372	202	-0.96	201.2859407
0.644	322	200	-5.428871634	202	0.04	201.2649622
0.646	323	200	-5.385729567	201	0.04	201.2459502
0.648	324	200	12.97751134	201	1.04	201.2283288
0.65	325	200	10.01937327	201	1.04	201.2111102
0.652	326	200	7.693006013	201	1.04	201.1933748
0.654	327	200	5.849361159	201	0.04	201.1747177
0.656	328	200	4.389268624	201	0.04	201.155665
0.658	329	200	3.243887835	201	0.04	201.1371573
0.66	330	200	2.351333851	201	0.04	201.1196185
0.662	331	200	1.655199002	201	-0.96	201.1029921
0.664	332	200	1.11993289	201	-0.96	201.0876754
0.666	333	200	0.7261117531	201	-1.96	201.0744889
0.668	334	200	0.4585000704	201	-1.96	201.0641945
0.67	335	200	0.3051162638	201	-1.96	201.0575001
0.672	336	200	0.2482427193	201	-1.96	201.0546112
0.674	337	200	0.2657812499	201	-1.96	201.055266
0.676	338	200	0.3405699032	201	-1.96	201.0592186
0.678	339	200	0.4592810361	201	0.04	201.0662384
0.68	340	200	0.595036776	201	0.04	201.075207
0.682	341	200	0.7105823338	201	0.04	201.0841805
0.684	342	200	0.7938073167	201	0.04	201.0922513
0.686	343	200	0.8519825689	201	1.04	201.0994775
0.688	344	200	0.8824914502	201	1.04	201.1054626
0.69	345	200	0.8751112628	201	1.04	201.1093872
0.692	346	200	0.8303135666	201	0.04	201.110941
0.694	347	200	0.7650660907	201	0.04	201.1107385
0.696	348	200	0.7007370561	201	0.04	201.1098034
0.698	349	200	0.6455104046	201	0.04	201.1086382
0.7	350	200	0.5974039975	201	0.04	201.1072597
0.702	351	200	0.5548779378	201	-0.96	201.1056836
0.704	352	200	0.5250001335	201	-0.96	201.1043756
0.706	353	200	0.5214505264	201	-1.96	201.1042199
0.708	354	200	0.5547069722	201	-0.96	201.106039
0.71	355	200	0.6244966044	200	-0.96	201.110146
0.712	356	200	19.03947835	200	-0.96	201.1159292
0.714	357	200	16.16054166	200	0.04	201.1228183
0.716	358	200	13.94260389	200	1.04	201.1302818
0.718	359	200	12.21312576	200	2.04	201.1369228
0.72	360	200	10.83004941	200	1.04	201.1409908
0.722	361	200	9.699858625	200	1.04	201.1417598
0.724	362	200	8.774855886	200	5.04	201.1399089
0.726	363	200	7.984859702	200	-1.96	201.1342681
0.728	364	200	7.292106263	200	-1.96	201.1246524
0.73	365	200	6.758241339	200	-1.96	201.1158525
0.732	366	200	6.405611296	200	-2.96	201.1109741
0.734	367	200	6.201469706	200	-3.96	201.1101995
0.736	368	200	6.136838412	201	0.04	201.1145977
0.738	369	200	-12.15400415	201	-0.96	201.1233571
0.74	370	200	-9.117437342	201	1.04	201.1334648
0.742	371	200	-6.757729415	201	1.04	201.1430176
0.744	372	200	-4.948564747	201	0.04	201.1506957
0.746	373	200	-3.575079359	201	0.04	201.1561738
0.748	374	200	-2.523188709	201	0.04	201.1605031
0.75	375	200	-1.712693062	201	-2.96	201.1642118
0.752	376	200	-1.064844562	201	3.04	201.1686939
0.754	377	200	-0.5434921145	201	3.04	201.1738933
0.756	378	200	-0.1949339252	201	6.04	201.1756988
0.758	379	200	-0.05446511573	201	6.04	201.1702858
0.76	380	200	-0.1240447111	201	5.04	201.1554519
0.762	381	200	-0.3716994362	201	5.04	201.1309565
0.764	382	200	-0.7393979196	201	4.04	201.0983854
0.766	383	200	-1.182222713	201	0.04	201.0592189
0.768	384	200	-1.632384816	201	0.04	201.0166429
0.77	385	200	-2.012889756	201	1.04	200.974977
